PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,ESTU_DEDICACIONINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2017-01-01,VAUPES,Estrato 1,NO,Estrato 1 - NO,231.1315789473684,38
2017-01-01,VAUPES,Estrato 1,SI,Estrato 1 - SI,240.05154639175257,97
2017-01-01,VAUPES,Estrato 2,NO,Estrato 2 - NO,209.72727272727272,11
2017-01-01,VAUPES,Estrato 2,SI,Estrato 2 - SI,243.57142857142858,14
2017-01-01,VAUPES,Estrato 3,NO,Estrato 3 - NO,221.2,5
2017-01-01,VAUPES,Estrato 3,SI,Estrato 3 - SI,222.91666666666666,12
2017-01-01,VAUPES,Sin Estrato,NO,Sin Estrato - NO,209.2077922077922,77
2017-01-01,VAUPES,Sin Estrato,SI,Sin Estrato - SI,208.55555555555554,45
2017-01-01,VICHADA,Estrato 1,NO,Estrato 1 - NO,238.77272727272728,44
2017-01-01,VICHADA,Estrato 1,SI,Estrato 1 - SI,243.25531914893617,188
2017-01-01,VICHADA,Estrato 2,NO,Estrato 2 - NO,246.71428571428572,14
2017-01-01,VICHADA,Estrato 2,SI,Estrato 2 - SI,251.1829268292683,82
2017-01-01,VICHADA,Estrato 3,NO,Estrato 3 - NO,211.66666666666666,3
2017-01-01,VICHADA,Estrato 3,SI,Estrato 3 - SI,233.0,26
2017-01-01,VICHADA,Sin Estrato,NO,Sin Estrato - NO,221.11764705882354,17
2017-01-01,VICHADA,Sin Estrato,SI,Sin Estrato - SI,217.13888888888889,36
2018-01-01,-,Estrato 2,NO,Estrato 2 - NO,276.0,1
2018-01-01,-,Estrato 2,SI,Estrato 2 - SI,277.0,3
2018-01-01,AMAZONAS,Estrato 1,NO,Estrato 1 - NO,205.16883116883116,77
2018-01-01,AMAZONAS,Estrato 1,SI,Estrato 1 - SI,214.8122270742358,229
2018-01-01,AMAZONAS,Estrato 2,NO,Estrato 2 - NO,209.38235294117646,34
2018-01-01,AMAZONAS,Estrato 2,SI,Estrato 2 - SI,233.8988764044944,178
2018-01-01,AMAZONAS,Estrato 3,NO,Estrato 3 - NO,227.44444444444446,9
2018-01-01,AMAZONAS,Estrato 3,SI,Estrato 3 - SI,243.84,100
2018-01-01,AMAZONAS,Sin Estrato,NO,Sin Estrato - NO,204.18032786885246,61
2018-01-01,AMAZONAS,Sin Estrato,SI,Sin Estrato - SI,207.25471698113208,106
2018-01-01,ANTIOQUIA,Estrato 1,NO,Estrato 1 - NO,214.1277750370005,2027
2018-01-01,ANTIOQUIA,Estrato 1,SI,Estrato 1 - SI,231.3752287980476,14751
2018-01-01,ANTIOQUIA,Estrato 2,NO,Estrato 2 - NO,222.4383275261324,1435
2018-01-01,ANTIOQUIA,Estrato 2,SI,Estrato 2 - SI,247.2422397594889,26610
2018-01-01,ANTIOQUIA,Estrato 3,NO,Estrato 3 - NO,224.74772727272727,440
2018-01-01,ANTIOQUIA,Estrato 3,SI,Estrato 3 - SI,263.35323411894143,17269
2018-01-01,ANTIOQUIA,Sin Estrato,NO,Sin Estrato - NO,202.41552511415526,219
2018-01-01,ANTIOQUIA,Sin Estrato,SI,Sin Estrato - SI,215.91022443890273,802
2018-01-01,ARAUCA,Estrato 1,NO,Estrato 1 - NO,235.29666666666665,300
2018-01-01,ARAUCA,Estrato 1,SI,Estrato 1 - SI,250.36572890025576,1564
2018-01-01,ARAUCA,Estrato 2,NO,Estrato 2 - NO,235.15384615384616,52
2018-01-01,ARAUCA,Estrato 2,SI,Estrato 2 - SI,257.90748898678413,681
2018-01-01,ARAUCA,Estrato 3,NO,Estrato 3 - NO,220.28571428571428,14
2018-01-01,ARAUCA,Estrato 3,SI,Estrato 3 - SI,246.27935222672065,247
2018-01-01,ARAUCA,Sin Estrato,NO,Sin Estrato - NO,209.31666666666666,60
2018-01-01,ARAUCA,Sin Estrato,SI,Sin Estrato - SI,226.4508670520231,173
2018-01-01,ATLANTICO,Estrato 1,NO,Estrato 1 - NO,228.59509202453987,652
2018-01-01,ATLANTICO,Estrato 1,SI,Estrato 1 - SI,241.16055491738092,11317
