PERIODO,ESTU_DEPTO_RESIDE,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,Estrato - Internet,PUNT_GLOBAL,Conteo
2018-01-01,CUNDINAMARCA,Estrato 1,No,Estrato 1 - No,239.86287820015517,5156
2018-01-01,CUNDINAMARCA,Estrato 1,Si,Estrato 1 - Si,249.51781472684087,2526
2018-01-01,CUNDINAMARCA,Estrato 2,No,Estrato 2 - No,250.96902434984264,6037
2018-01-01,CUNDINAMARCA,Estrato 2,Si,Estrato 2 - Si,264.3114325899136,9954
2018-01-01,CUNDINAMARCA,Estrato 3,No,Estrato 3 - No,252.54347826086956,1426
2018-01-01,CUNDINAMARCA,Estrato 3,Si,Estrato 3 - Si,271.2949809985585,7631
2018-01-01,CUNDINAMARCA,Sin Estrato,No,Sin Estrato - No,235.37152777777777,288
2018-01-01,CUNDINAMARCA,Sin Estrato,Si,Sin Estrato - Si,254.32911392405063,158
2018-01-01,EXTRANJERO,Estrato 1,No,Estrato 1 - No,183.0,1
2018-01-01,GUAINIA,Estrato 1,No,Estrato 1 - No,241.07142857142858,112
2018-01-01,GUAINIA,Estrato 1,Si,Estrato 1 - Si,262.6111111111111,18
2018-01-01,GUAINIA,Estrato 2,No,Estrato 2 - No,243.7826086956522,46
2018-01-01,GUAINIA,Estrato 2,Si,Estrato 2 - Si,236.52941176470588,17
2018-01-01,GUAINIA,Estrato 3,No,Estrato 3 - No,232.875,8
2018-01-01,GUAINIA,Estrato 3,Si,Estrato 3 - Si,266.3333333333333,3
2018-01-01,GUAINIA,Sin Estrato,No,Sin Estrato - No,206.01694915254237,59
2018-01-01,GUAINIA,Sin Estrato,Si,Sin Estrato - Si,198.25,4
2018-01-01,GUAVIARE,Estrato 1,No,Estrato 1 - No,231.6286472148541,377
2018-01-01,GUAVIARE,Estrato 1,Si,Estrato 1 - Si,237.02105263157895,95
2018-01-01,GUAVIARE,Estrato 2,No,Estrato 2 - No,232.10738255033556,149
2018-01-01,GUAVIARE,Estrato 2,Si,Estrato 2 - Si,248.19811320754718,106
2018-01-01,GUAVIARE,Estrato 3,No,Estrato 3 - No,223.175,40
2018-01-01,GUAVIARE,Estrato 3,Si,Estrato 3 - Si,247.6304347826087,46
2018-01-01,GUAVIARE,Sin Estrato,No,Sin Estrato - No,216.06666666666666,75
2018-01-01,GUAVIARE,Sin Estrato,Si,Sin Estrato - Si,182.2,10
2018-01-01,HUILA,Estrato 1,No,Estrato 1 - No,243.18238862162727,4781
2018-01-01,HUILA,Estrato 1,Si,Estrato 1 - Si,257.77457903313416,1841
2018-01-01,HUILA,Estrato 2,No,Estrato 2 - No,245.6653883029722,2086
2018-01-01,HUILA,Estrato 2,Si,Estrato 2 - Si,269.78059499661936,2958
2018-01-01,HUILA,Estrato 3,No,Estrato 3 - No,239.0099502487562,201
2018-01-01,HUILA,Estrato 3,Si,Estrato 3 - Si,280.8051282051282,780
2018-01-01,HUILA,Sin Estrato,No,Sin Estrato - No,225.87064676616916,201
2018-01-01,HUILA,Sin Estrato,Si,Sin Estrato - Si,245.74418604651163,43
2018-01-01,LA GUAJIRA,Estrato 1,No,Estrato 1 - No,224.6732623033993,1971
2018-01-01,LA GUAJIRA,Estrato 1,Si,Estrato 1 - Si,239.090692124105,838
2018-01-01,LA GUAJIRA,Estrato 2,No,Estrato 2 - No,228.6158415841584,1010
2018-01-01,LA GUAJIRA,Estrato 2,Si,Estrato 2 - Si,249.86660359508042,1057
2018-01-01,LA GUAJIRA,Estrato 3,No,Estrato 3 - No,215.53225806451613,372
2018-01-01,LA GUAJIRA,Estrato 3,Si,Estrato 3 - Si,243.05372616984403,577
2018-01-01,LA GUAJIRA,Sin Estrato,No,Sin Estrato - No,201.4087266251113,1123
2018-01-01,LA GUAJIRA,Sin Estrato,Si,Sin Estrato - Si,209.66666666666666,201
2018-01-01,MAGDALENA,Estrato 1,No,Estrato 1 - No,222.36711538461537,5200
2018-01-01,MAGDALENA,Estrato 1,Si,Estrato 1 - Si,233.4579033134166,1841
2018-01-01,MAGDALENA,Estrato 2,No,Estrato 2 - No,220.31227154046996,1915
